,word,prononunce,Type,Meaning,Example,Example2,others
57,con·son·ance,[ɪˈmɛnsli],VERB,grasp mentally; understand:,"""he couldn't comprehend her reasons for marrying Lovat"" · ""I simply couldn't comprehend what had happened""",Nan,Nan
58,im·mense·ly,[kɒmprɪˈhɛnd],ADJECTIVE,comprehensive or all-embracing:,"""a single overarching principle""",Nan,Nan
59,com·pre·hend,[ˌəʊvərˈɑːtʃɪŋ],ADJECTIVE,last but one in a series of things; second last:,"""the penultimate chapter of the book""",Nan,Nan
60,over·arch·ing,[pɪˈnʌltɪmət],NOUN,"pasta made in solid strings, between macaroni and vermicelli in thickness.","an Italian dish consisting largely of spaghetti, typically with a sauce.",Nan,Nan
61,pen·ul·ti·mate,[spəˈɡɛti],VERB,"give new and improved form, structure, or appearance to:","""an attempt to revamp the museum's image""",Nan,Nan
62,spa·ghetti,[riːˈvamp],ADJECTIVE,enduring injury with patience and without resentment : mild,deficient in spirit and courage : submissive,Nan,Nan
63,re·vamp,ˈmēk,VERB,endeavor (verb),try hard to do or achieve something:,Nan,Nan
64,meek,"[ɪnˈdɛvə, ɛnˈdɛvə]",ADJECTIVE,"forbidden, especially by an authority:","""bank fishing is verboten on Strathbeg"" · ""the list of verboten films""",Nan,Nan
65,en·deav·our,"[vəːˈbəʊt(ə)n, German fɛɐˈboːtn]",NOUN,a confusing and difficult problem or question:,"""one of the most difficult conundrums for the experts""",Nan,Nan
66,ver·bo·ten,[kəˈnʌndrəm],ADVERB,after a particular thing has happened; afterwards:,"""the officer decided to stop and subsequently made an arrest"" · ""the work was accepted for inclusion in the Paris Salon of 1880 and was subsequently sold to an important collector""",Nan,Nan
67,con·un·drum,[ˈsʌbsɪkwəntli],NOUN,the path followed by a projectile flying or an object moving under the action of given forces:,"""the missile's trajectory was preset"" · ""the rapid upward trajectory of Rich's career""",Nan,Nan
68,sub·se·quent·ly,"[trəˈdʒɛkt(ə)ri, ˈtradʒɪkt(ə)ri]",VERB,halted (past tense) · halted (past participle),bring or come to an abrupt stop:,Nan,Nan
69,tra·jec·tory,[hɔːlt],NOUN,the action of taking up or making use of something that is available:,"""the uptake of free school meals""",Nan,Nan
70,halt,[ˈʌpteɪk],VERB [ T ],to do or be better than,His time for the 100 metres surpassed the previous world record by one hundredth of a second.,Nan,Nan
71,up·take,uk/səˈpɑːs/ us/sɚˈpæs/,ADJECTIVE,The salient facts about something or qualities of something are the most important things about them,She began to summarize the salient features/points of the proposal.,Nan,Nan
72,surpass,uk/ˈseɪ.li.ənt/ us/ˈseɪ.li.ənt/,ADJECTIVE,of vital importance; crucial:,"""immediate action was imperative"" · ""it is imperative that standards are maintained""",Nan,Nan
73,salient,[ɪmˈpɛrətɪv],Nan,Nan,Nan,Nan,Nan
74,im·pera·tive,Nan,Nan,Nan,Nan,Nan,Nan
